Iterations,Mean_Error,Std_Error,Accuracy
1,0.4819060047893278,0.20270321395944366,51.80939952106722
2,0.4984996783203637,0.037242428390217616,50.15003216796363
3,0.5950994476618541,0.06552795497384557,40.490055233814594
4,0.5024127436791875,0.18327227618596909,49.758725632081244
5,0.4658265647173898,0.07141823272505662,53.41734352826102
6,0.6163942589576896,0.0722735921519072,38.360574104231034
7,0.46273311193343963,0.04323031488884867,53.72668880665603
8,0.44243735272732826,0.013005115637062008,55.75626472726718
9,0.5183755335304242,0.02906259806783938,48.16244664695758
10,0.5415234618003071,0.06785334360917962,45.847653819969295
11,0.5038517287993834,0.04863155299414854,49.614827120061655
12,0.39673452204907406,0.020129309866284827,60.32654779509259
13,0.4505547938805954,0.07350432542427235,54.94452061194046
14,0.47771151129288003,0.05811948795193313,52.228848870712
15,0.5277960843342471,0.01711492918877608,47.220391566575294
16,0.5669315436462473,0.06959429024815816,43.30684563537527
17,0.4650167886512891,0.017669839333802128,53.4983211348711
18,0.4927487638128099,0.04041784451104557,50.72512361871902
19,0.46897873222455494,0.058486392706113846,53.10212677754451
20,0.4930777541796912,0.022690655819142383,50.69222458203089
21,0.4604315993228527,0.06869508633196475,53.95684006771473
22,0.5263156649756601,0.034721996164933475,47.368433502433994
23,0.4587868058267513,0.0347154480746,54.12131941732488
24,0.5187616913568371,0.030438742441964275,48.12383086431629
25,0.47267891314249594,0.029592848316429034,52.732108685750404
26,0.5096041440057403,0.0505961632925102,49.03958559942597
27,0.46897850551858616,0.019650204136412473,53.102149448141375
28,0.49920293371326663,0.05806653069106535,50.079706628673335
29,0.4915271038172979,0.006899467650208014,50.84728961827021
30,0.4863404663671645,0.03195826347279096,51.36595336328356
31,0.4866022782845414,0.08639399558423996,51.33977217154586
32,0.48705801936501897,0.039682349293378605,51.29419806349811
33,0.5113876293349895,0.04536306333886038,48.86123706650105
34,0.5332611181406175,0.045369208329025176,46.67388818593825
35,0.47299679843982273,0.04695361652174308,52.70032015601773
36,0.47236749526564564,0.016373264275212362,52.76325047343544
37,0.5050454551939878,0.04255108287174968,49.49545448060122
38,0.4708300043496079,0.04525961168310242,52.91699956503921
39,0.46625325729699024,0.012335403903778014,53.37467427030098
40,0.4669696753216315,0.02031045068293347,53.30303246783685
41,0.4960557966018088,0.018922381276446854,50.39442033981911
42,0.48302519127904814,0.022056959985870005,51.697480872095184
43,0.46513798285637087,0.052915792481736494,53.48620171436291
44,0.5030131150421525,0.034489625701860344,49.69868849578475
45,0.4849647044461802,0.028995164382222924,51.503529555381974
46,0.4898925921741329,0.03834559981636519,51.010740782586716
47,0.4811988793869875,0.031052010995608774,51.880112061301254
48,0.5372635479698166,0.0434029367844914,46.27364520301834
49,0.49130865713859845,0.028960266575139608,50.86913428614015
50,0.5146189780820729,0.04500463142806328,48.53810219179271
